target,seed,n_lobes,validated_surrogate_target_rmse_db,optimized_theory_target_rmse_db,raw_coherence_availability,radiating_phase_steerability,radiating_covariance_gain,phase_ablation_rmse_db,offdiag_bound_ratio_max,control_dimension_1e2,control_dimension_1e3,target_projection_q_1e2
target_001,1,1,6.306687694323233,6.528103640377316,0.9394923276678974,0.8237758044072873,1.0567989109470373,8.226484295650875,0.10851552375291346,9,11,0.9148456957621588
target_002,2,1,10.041962629114895,10.394119710140458,0.9355911422289097,0.7907457871248686,1.2000609508462334,9.622559326255178,0.12257797804088966,10,11,0.9895285317278996
target_003,3,1,12.846457527451374,13.052040783762015,0.9593505209428905,0.8730827628754414,0.9144854988922686,5.989197638377296,0.07175094623793571,9,11,0.9985498193167736
target_004,4,1,9.054742016399521,9.059408378885191,0.9482999916485997,0.7768509870959376,1.1548127577790643,8.91391197089507,0.10097103566277728,8,11,0.7653367212092267
target_005,5,3,7.024188573266684,7.37648300662885,0.9554070869599449,0.8139546984880353,1.1106642316598352,6.436803386295278,0.05749227692689311,8,10,0.8531085267971587
target_006,6,3,9.584523006029729,9.629143158335994,0.9416127095429959,0.6780132136956957,0.9894577751754001,4.586170356723091,0.03447147449946103,8,11,0.8126672876729826
target_007,7,2,7.106334196297533,7.974023617801802,0.9418838711714613,0.8078449160063829,0.8648093572395252,4.692792373709467,0.045315366967593924,9,11,0.9849726231430985
target_008,8,1,9.03931720731007,8.997056836644427,0.9615957891332845,0.8215418617700585,1.0037734043273863,5.8746571434821195,0.09719690839657072,8,11,0.7035613117558542
target_009,9,2,8.108892316169008,8.161241863173611,0.9578770495000066,0.8292212014485405,0.9450894136492467,13.653289862773672,0.3349759484815246,9,10,0.9221201579740971
target_010,10,3,8.142236794508719,7.7419460908010365,0.9582647611361025,0.7584198363639884,0.8915267284842734,5.004286028416844,0.08960439431887952,9,11,0.8500239257390284
target_011,11,2,12.983861354998925,12.977718162241297,0.957418629112417,0.8568595842738058,1.1076387167926591,7.457209511097,0.13633785402182172,8,11,0.908392182270304
target_012,12,2,8.044126492508159,8.723559427463146,0.9463514760404561,0.7401966419580641,0.759884148050306,11.458671462198511,0.24568242084700506,10,11,0.9400315304337806
target_013,13,2,7.6429633020839365,7.6779356726181085,0.9427250645065872,0.776414132677373,1.1337656331596808,7.055000010453916,0.1268565421924117,8,10,0.9490903493028189
target_014,14,1,8.278075599866458,8.569031391025483,0.9583612537047134,0.8501129733746596,1.1387971624692532,6.5119484062758275,0.06390504365647579,9,11,0.9979625623745687
target_015,15,1,12.907721854371502,12.391629538143064,0.9581863356357819,0.8074233448065554,1.1292185368182506,6.537947034180845,0.06977650508245292,8,11,0.8069142040597737
target_016,16,2,8.205392734914499,8.549964400437291,0.9519464579083251,0.7984281117374913,0.9483977122473856,7.292297089945585,0.09036196261237647,9,11,0.8919545136396976
target_017,17,3,7.404458803316939,7.537905034672202,0.9370178025399447,0.7787218388744351,1.3310294531514166,8.74322102877133,0.11233045534616189,8,10,0.4711618013835096
target_018,18,1,10.118058799296993,10.22054672328195,0.9433973033254375,0.7227518321538996,0.9776618103483222,5.968231833978232,0.06962297756446066,9,11,0.9439166602522259
target_019,19,3,9.086049016264747,8.935024898979806,0.9415333051544442,0.8578701159534958,1.4287401709757,9.62134480262649,0.16057094052136994,9,11,0.9847720395944867
target_020,20,3,6.532049587284405,6.289108668851877,0.9451879703061734,0.8068189634039066,1.078597363143643,7.056896797052403,0.1501894987246779,10,11,0.9866270244766364
target_021,21,1,9.81999239148809,10.175485525389211,0.9548008859181757,0.8437644113647125,0.8468967380898352,11.867145071694999,0.22542199704612373,10,11,0.9552331499110684
target_022,22,1,12.360878161735164,12.545409016626662,0.9536427983382895,0.851062585152372,1.4103253818825274,12.98341765865194,0.263912962170994,8,11,0.8661086491735571
target_023,23,2,6.950534689664219,7.272703119116443,0.9389573020836185,0.8013160566789791,1.135217500206793,8.695865589853845,0.11903427160983066,10,11,0.8631982482636071
target_024,24,3,7.918619449238048,7.995316965719955,0.9631869306956765,0.8326991627053284,1.1269342645386065,9.127185525866754,0.09713944191611006,8,10,0.5845855385233302
target_025,25,2,7.8969989663674145,8.966873575613707,0.947617924366167,0.8297495130354733,1.2306575316518784,7.116399789300747,0.20626531201880274,9,11,0.9785456384048555
target_026,26,3,8.444685874621042,7.842612811307262,0.9376525396325688,0.8704655660929735,1.125866577760752,8.55809851887473,0.23018191441558972,9,10,0.9748553822630743
target_027,27,3,7.529798157757176,7.53812240568422,0.9470056151370241,0.7609190158216353,0.8750709551566378,5.449133855279388,0.07912287946725824,8,10,0.6948373555381983
target_028,28,1,13.611578406361634,13.387481745507898,0.9511351242767827,0.8494151710532857,1.5358652010905924,10.109506310940608,0.21993286033836096,8,11,0.8310827640942847
target_029,29,3,7.547009806769063,7.12042704428455,0.9395965925507606,0.7506857514280784,1.1110239195454341,6.489894937552526,0.07543711318194686,8,10,0.6562178169388995
target_030,30,3,7.791055594580091,7.86005588622201,0.9515551812361452,0.8721635544137444,1.418341189589606,9.149058526350762,0.11689433706919006,7,11,0.9135228109758226
target_031,31,1,7.286603213122478,6.950896626678696,0.9556042108796512,0.8936984710767657,2.0395741620412315,10.771373316759245,0.29717024849697166,7,10,0.5270859204466798
target_032,32,1,18.087354292799965,17.842903385417205,0.9583556364057298,0.765480044758082,0.89807037717481,5.967551101890674,0.041086104840730206,9,11,0.9710131973074417
target_033,33,3,7.343190668952244,7.725648359354595,0.9424445965756687,0.7997987364637779,0.9802152576765999,6.410900576134364,0.12090416085474295,10,11,0.9272428371269528
target_034,34,3,7.053829923998052,7.121775249987316,0.9435751578663567,0.7253457873683151,1.0726723315698241,5.055518283326677,0.06201952098760829,10,10,0.9456069723207031
target_035,35,3,7.729014420629985,7.701057514080749,0.9592681777207042,0.7976788008153766,1.0738621715765637,8.191239508765419,0.09902254468004229,8,11,0.9275161059294057
target_036,36,2,11.484708509373442,11.37863746488412,0.9620723165975238,0.8448126272242533,1.300838126857764,8.491541044511385,0.12347747124947961,8,11,0.9341284542089979
target_037,37,3,9.841826267488432,9.988231431905303,0.9575414707447293,0.8049961837145924,0.726887087632902,3.8956011461758333,0.02765162843252418,7,10,0.9432146439290042
target_038,38,3,6.789403470476659,7.197065795170107,0.9631314719834382,0.8604337185073455,1.0775041336262976,7.42028957231382,0.08101240198334796,7,10,0.491487076069871
target_039,39,1,8.319522940616572,8.41890396493822,0.9476550221143692,0.7716325091165566,1.111359298992254,6.414204587070972,0.0884331269402124,10,11,0.9857578376850535
target_040,40,2,7.95278570425752,7.976674090391924,0.9482705786515551,0.8466973141665087,1.0961203749639146,8.982011813973383,0.0935549453117973,8,11,0.8887532474138798
target_041,41,2,6.943514379914523,7.125053508209269,0.9545591764084347,0.8333103445785903,1.2659685434633936,8.089293741132924,0.0839782861590992,8,10,0.8585098191409933
target_042,42,3,10.311986043493429,10.196551219714177,0.9468053086663375,0.8090649987878632,1.1848448815548807,6.833773544809297,0.17113492640470263,9,11,0.8577074522175384
target_043,43,1,13.368120320928355,13.281929856699994,0.9433139392977233,0.7551356339166494,1.3248089616994194,8.564317744391433,0.10092972833486426,10,11,0.8597531023606857
target_044,44,2,7.404921317870489,7.759808182727696,0.9427447794871554,0.7924015489556255,1.1954788098758375,8.088266835483845,0.0906011753345431,8,11,0.7075388868951364
target_045,45,2,8.2286121643112,8.314485257788183,0.961845390811934,0.8728975921458761,1.2814683159350853,10.475377257151527,0.17291759458784398,7,9,0.6221429551770781
target_046,46,1,12.43379712424438,12.485396147942373,0.9526279257217679,0.843005435658542,1.0372572332748802,9.114791946723619,0.11290903724054568,9,11,0.9156762295874034
target_047,47,2,10.55195993437315,10.503500330884195,0.9611504674154359,0.830092745872487,1.0516367648895832,7.706829154775632,0.09537851259811246,8,11,0.6467281284343845
target_048,48,3,7.480182705373281,7.812834120313652,0.9578740106380356,0.7898118805632645,1.0037428913015558,5.994091295266034,0.08699705798147873,10,11,0.9471592014415174
target_049,49,1,8.132518756671328,8.122033501331332,0.9419578848728793,0.8493351249557797,1.5494586759198177,9.646490272642732,0.2193442132788946,9,11,0.9578235261177411
target_050,50,2,12.801325155018096,12.415371714207788,0.9445657961957458,0.8330376199449488,1.6501976988152023,10.099573696084603,0.17751452640630094,7,10,0.895632634022506
