n_sources,ks,coherence_length_over_spacing,raw_coherence_availability,radiating_phase_steerability,radiating_covariance_gain,phase_ablation_rmse_db,dominant_mechanism
7,0.01,0.01,4.870722786029202e-44,6.377540182767903e-44,1.0,0.0,compact
7,0.01,0.014677992676220698,3.379893277835657e-30,4.425504414805098e-30,1.0,0.0,compact
7,0.01,0.021544346900318832,9.096564976156616e-21,1.1910698105628168e-20,1.0,0.0,compact
7,0.01,0.03162277660168379,2.417932776681587e-14,3.1659497203883124e-14,1.0000000000000315,1.622480174228685e-15,compact
7,0.01,0.046415888336127774,5.760373290509177e-10,7.542414899714515e-10,1.0000000007541912,9.961354853156488e-14,compact
7,0.01,0.06812920690579612,5.526757106138364e-07,7.236524016085149e-07,1.0000007236044293,9.666451751919462e-11,compact
7,0.01,0.1,5.944246128382294e-05,7.782859748497344e-05,1.0000778294388886,1.0397466915648223e-08,compact
7,0.01,0.1467799267622069,0.0014395525070505517,0.0018830724890133578,1.0018864985632274,2.5223186884528264e-07,compact
7,0.01,0.21544346900318834,0.01262430272491787,0.016391174073274697,1.0166631937906987,2.242970086128296e-06,compact
7,0.01,0.31622776601683794,0.0553782666433955,0.06995493655456551,1.0752114452768478,1.0390097799710764e-05,compact
7,0.01,0.46415888336127775,0.15094677357609015,0.18031141589838773,1.2199587796434799,3.2247328869055345e-05,compact
7,0.01,0.6812920690579611,0.2948763522894174,0.3278291237434612,1.4876744083544513,7.845958118261277e-05,compact
7,0.01,1.0,0.455167734961103,0.47401089190371715,1.901086146172697,0.00016083730593800292,compact
7,0.01,1.467799267622069,0.5977816110856276,0.5936731922753883,2.4608893110772674,0.00028265960863609133,compact
7,0.01,2.154434690031882,0.7068798480259889,0.6809145881762119,3.1336393041132142,0.00042930368917259076,compact
7,0.01,3.1622776601683795,0.7829739575338415,0.7404959637687037,3.8530188920193367,0.0005761983757446804,compact
7,0.01,4.6415888336127775,0.8332992662778405,0.7799531774088136,4.543821645322184,0.00070452496461468,compact
7,0.01,6.812920690579608,0.8657267852616342,0.8058439012071391,5.149659205318151,0.0008068524485768045,compact
7,0.01,10.0,0.8864854089197354,0.8228649380158866,5.644428071338168,0.0008838725199267916,compact
7,0.01,14.67799267622069,0.8998433876228871,0.8341239286052226,6.027498616290116,0.0009397991727117099,compact
7,0.01,21.54434690031882,0.9085269029829269,0.8416223916803016,6.312836417705865,0.0009795079897796917,compact
7,0.01,31.622776601683793,0.914233111584836,0.8466462973949261,6.519619947705074,0.0010073040468466027,compact
7,0.01,46.41588833612777,0.9180184637076214,0.8500282308531459,6.6666216538768115,0.0010265842079453117,compact
7,0.01,68.12920690579608,0.9205484749760577,0.852312912724586,6.769739498704728,0.0010398780186845914,compact
7,0.01,100.0,0.922249002226468,0.8538602998890378,6.841411201962141,0.0010490082118077139,compact
7,0.014677992676220698,0.01,4.870722786029202e-44,6.377848244783198e-44,1.0,0.0,compact
7,0.014677992676220698,0.014677992676220698,3.379893277835657e-30,4.425718185282375e-30,1.0,0.0,compact
7,0.014677992676220698,0.021544346900318832,9.096564976156616e-21,1.1911273442444063e-20,1.0,0.0,compact
7,0.014677992676220698,0.03162277660168379,2.417932776681587e-14,3.166102649076057e-14,1.0000000000000315,1.600846137229504e-15,compact
7,0.014677992676220698,0.046415888336127774,5.760373290509177e-10,7.542779230077954e-10,1.000000000754169,2.1575843406554677e-13,compact
7,0.014677992676220698,0.06812920690579612,5.526757106138364e-07,7.23687357040411e-07,1.0000007235834298,2.0825620961677281e-10,compact
7,0.014677992676220698,0.1,5.944246128382294e-05,7.783235666934061e-05,1.0000778271799848,2.2400484579532757e-08,compact
7,0.014677992676220698,0.1467799267622069,0.0014395525070505517,0.0018831632945874616,1.001886443665453,5.434126985414172e-07,compact
7,0.014677992676220698,0.21544346900318834,0.01262430272491787,0.01639195407555294,1.0166626984130847,4.832291867996634e-06,compact
7,0.014677992676220698,0.31622776601683794,0.0553782666433955,0.06995809893051828,1.0752090184015735,2.238456808782206e-05,compact
7,0.014677992676220698,0.46415888336127775,0.15094677357609015,0.18031864549304386,1.219950233542623,6.94738433362796e-05,compact
7,0.014677992676220698,0.6812920690579611,0.2948763522894174,0.3278398412566536,1.487649052772033,0.00016903276491979545,compact
7,0.014677992676220698,1.0,0.455167734961103,0.4740224944262012,1.9010197268341547,0.00034650445494002595,compact
7,0.014677992676220698,1.467799267622069,0.5977816110856276,0.5936832717312353,2.4607382171818166,0.0006089546594863693,compact
7,0.014677992676220698,2.154434690031882,0.7068798480259889,0.6809221776355174,3.1333470960892997,0.0009248859268244194,compact
7,0.014677992676220698,3.1622776601683795,0.7829739575338415,0.7405012361626212,3.8525366750140253,0.0012413666871950739,compact
7,0.014677992676220698,4.6415888336127775,0.8332992662778405,0.7799567075722428,4.5431263316024255,0.001517852249434538,compact
7,0.014677992676220698,6.812920690579608,0.8657267852616342,0.8058462372397236,5.148756737699068,0.0017383282600828137,compact
7,0.014677992676220698,10.0,0.8864854089197354,0.8228664840096749,5.643344479127377,0.0019042807225574422,compact
7,0.014677992676220698,14.67799267622069,0.8998433876228871,0.8341249562769762,6.026268271948189,0.002024786193686614,compact
7,0.014677992676220698,21.54434690031882,0.9085269029829269,0.8416230783087327,6.3114933873888495,0.002110348175729653,compact
7,0.014677992676220698,31.622776601683793,0.914233111584836,0.8466467581553552,6.518193567342337,0.0021702418999402094,compact
7,0.014677992676220698,46.41588833612777,0.9180184637076214,0.8500285410074566,6.665135196919354,0.0022117862294138272,compact
7,0.014677992676220698,68.12920690579608,0.9205484749760577,0.8523131218748283,6.768210504148766,0.0022404314816454295,compact
7,0.014677992676220698,100.0,0.922249002226468,0.8538604409952903,6.839852453931132,0.002260105113813049,compact
7,0.021544346900318832,0.01,4.870722786029202e-44,6.378510976764723e-44,1.0,0.0,compact
7,0.021544346900318832,0.014677992676220698,3.379893277835657e-30,4.426178068438894e-30,1.0,0.0,compact
7,0.021544346900318832,0.021544346900318832,9.096564976156616e-21,1.1912511161114693e-20,1.0,0.0,compact
7,0.021544346900318832,0.03162277660168379,2.417932776681587e-14,3.1664316436525674e-14,1.0000000000000315,1.6331897305905411e-15,compact
7,0.021544346900318832,0.046415888336127774,5.760373290509177e-10,7.543563011822219e-10,1.0000000007541217,4.663891800492007e-13,compact
7,0.021544346900318832,0.06812920690579612,5.526757106138364e-07,7.237625564531506e-07,1.0000007235381894,4.4866761281528597e-10,compact
7,0.021544346900318832,0.1,5.944246128382294e-05,7.784044378002407e-05,1.0000778223134361,4.8259546476407425e-08,compact
7,0.021544346900318832,0.1467799267622069,0.0014395525070505517,0.0018833586439089348,1.001886325394516,1.1707267836749075e-06,compact
7,0.021544346900318832,0.21544346900318834,0.01262430272491787,0.01639363207690698,1.0166616311811327,1.0410668343028017e-05,compact
7,0.021544346900318832,0.31622776601683794,0.0553782666433955,0.06996490189460751,1.075203790030521,4.8225073316321947e-05,compact
7,0.021544346900318832,0.46415888336127775,0.15094677357609015,0.1803341968905076,1.2199318225242026,0.00014967258505275643,compact
7,0.021544346900318832,0.6812920690579611,0.2948763522894174,0.327862892536952,1.4875944310341418,0.00036415483562026574,compact
7,0.021544346900318832,1.0,0.455167734961103,0.47404744437512963,1.900876653089446,0.000746479369234325,compact
7,0.021544346900318832,1.467799267622069,0.5977816110856276,0.5937049409951348,2.4604127682693293,0.001311874102562937,compact
7,0.021544346900318832,2.154434690031882,0.7068798480259889,0.680938488949393,3.132717731884146,0.001992509608206762,compact
7,0.021544346900318832,3.1622776601683795,0.7829739575338415,0.7405125638514425,3.851498112846827,0.0026743734186947883,compact
7,0.021544346900318832,4.6415888336127775,0.8332992662778405,0.7799642891704448,4.541628867073293,0.0032701099102110066,compact
7,0.021544346900318832,6.812920690579608,0.8657267852616342,0.8058512518451129,5.146813179630507,0.0037451952360089665,compact
7,0.021544346900318832,10.0,0.8864854089197354,0.8228698005781689,5.64101088656605,0.004102811382011693,compact
7,0.021544346900318832,14.67799267622069,0.8998433876228871,0.8341271589502858,6.023618666244816,0.00436250289441231,compact
7,0.021544346900318832,21.54434690031882,0.9085269029829269,0.8416245481316355,6.308601127768014,0.00454689598841605,compact
7,0.021544346900318832,31.622776601683793,0.914233111584836,0.8466477426529925,6.5151218256561965,0.004675974594589873,compact
7,0.021544346900318832,46.41588833612777,0.9180184637076214,0.8500292019103698,6.661934089570927,0.004765509238030628,compact
7,0.021544346900318832,68.12920690579608,0.9205484749760577,0.8523135657655205,6.764917798871715,0.004827244949055073,compact
7,0.021544346900318832,100.0,0.922249002226468,0.8538607386932561,6.836495679397351,0.0048696454923272976,compact
7,0.03162277660168379,0.01,4.870722786029202e-44,6.379934295263984e-44,1.0,0.0,compact
7,0.03162277660168379,0.014677992676220698,3.379893277835657e-30,4.4271657379982595e-30,1.0,0.0,compact
7,0.03162277660168379,0.021544346900318832,9.096564976156616e-21,1.1915169351650074e-20,1.0,0.0,compact
7,0.03162277660168379,0.03162277660168379,2.417932776681587e-14,3.1671382099266517e-14,1.0000000000000315,1.5678354550330987e-15,compact
7,0.03162277660168379,0.046415888336127774,5.760373290509177e-10,7.545246303238797e-10,1.0000000007540206,1.0062256388482963e-12,compact
7,0.03162277660168379,0.06812920690579612,5.526757106138364e-07,7.239240587167992e-07,1.0000007234407262,9.665896082539233e-10,compact
7,0.03162277660168379,0.1,5.944246128382294e-05,7.78578120882828e-05,1.0000778118292897,1.0396816143134609e-07,compact
7,0.03162277660168379,0.1467799267622069,0.0014395525070505517,0.0018837781857264525,1.0018860706001835,2.522159765968806e-06,compact
7,0.03162277660168379,0.21544346900318834,0.01262430272491787,0.01639723578208884,1.0166593320238153,2.2428228295355316e-05,compact
7,0.03162277660168379,0.31622776601683794,0.0553782666433955,0.0699795112052481,1.0751925266505447,0.00010389305201385088,compact
7,0.03162277660168379,0.46415888336127775,0.15094677357609015,0.1803675885371275,1.2198921618178866,0.0003224399770123206,compact
7,0.03162277660168379,0.6812920690579611,0.2948763522894174,0.32791237436138737,1.4874767762372076,0.0007844771878666593,compact
7,0.03162277660168379,1.0,0.455167734961103,0.47410097951703994,1.9005685139049864,0.0016080468217864392,compact
7,0.03162277660168379,1.467799267622069,0.5977816110856276,0.5937514112163222,2.4597119486123113,0.0028259806485317076,compact
7,0.03162277660168379,2.154434690031882,0.7068798480259889,0.6809734464006287,3.1313626377661516,0.004292282745759712,compact
7,0.03162277660168379,3.1622776601683795,0.7829739575338415,0.7405368231343641,3.8492621891172827,0.0057614374773774,compact
7,0.03162277660168379,4.6415888336127775,0.8332992662778405,0.7799805122456082,4.538405198663296,0.007045221017945423,compact
7,0.03162277660168379,6.812920690579608,0.8657267852616342,0.8058619708913091,5.142629387413445,0.008069152067776524,compact
7,0.03162277660168379,10.0,0.8864854089197354,0.8228768801189302,5.635987656112013,0.008839995390976199,compact
7,0.03162277660168379,14.67799267622069,0.8998433876228871,0.834131851657833,6.017915323879351,0.009399810544286732,compact
7,0.03162277660168379,21.54434690031882,0.9085269029829269,0.841627670807141,6.302375563048126,0.00979733074839365,compact
7,0.03162277660168379,31.622776601683793,0.914233111584836,0.8466498257290699,6.5085099967744515,0.010075614932308404,compact
7,0.03162277660168379,46.41588833612777,0.9180184637076214,0.8500305918920591,6.655043854347463,0.010268651321282206,compact
7,0.03162277660168379,68.12920690579608,0.9205484749760577,0.8523144909689926,6.757830437809536,0.010401756247528034,compact
7,0.03162277660168379,100.0,0.922249002226468,0.8538613508083057,6.8292704368070485,0.010493175090394914,compact
7,0.046415888336127774,0.01,4.870722786029202e-44,6.382979847025749e-44,1.0,0.0,compact
7,0.046415888336127774,0.014677992676220698,3.379893277835657e-30,4.4292791081034956e-30,1.0,0.0,compact
7,0.046415888336127774,0.021544346900318832,9.096564976156616e-21,1.192085722605931e-20,1.0,0.0,compact
7,0.046415888336127774,0.03162277660168379,2.417932776681587e-14,3.168650088091628e-14,1.0000000000000315,1.5953917904113692e-15,compact
7,0.046415888336127774,0.046415888336127774,5.760373290509177e-10,7.548848133146846e-10,1.0000000007538017,2.169140729311662e-12,compact
7,0.046415888336127774,0.06812920690579612,5.526757106138364e-07,7.242696338660511e-07,1.00000072323077,2.082287296051159e-09,compact
7,0.046415888336127774,0.1,5.944246128382294e-05,7.789497599288122e-05,1.0000777892442778,2.2397460219337503e-07,compact
7,0.046415888336127774,0.1467799267622069,0.0014395525070505517,0.0018846758984400382,1.0018855217212788,5.433389276295354e-06,compact
7,0.046415888336127774,0.21544346900318834,0.01262430272491787,0.016404946547678698,1.0166543792160774,4.83160839049952e-05,compact
7,0.046415888336127774,0.31622776601683794,0.0553782666433955,0.07001076644918468,1.0751682641652793,0.00022380889432182198,compact
7,0.046415888336127774,0.46415888336127775,0.15094677357609015,0.18043900428953585,1.2198067369030565,0.0006945838333423095,compact
7,0.046415888336127774,0.6812920690579611,0.2948763522894174,0.3280181403460371,1.4872234087934533,0.0016897771458090876,compact
7,0.046415888336127774,1.0,0.455167734961103,0.4742153053931334,1.8999051298539857,0.003463530515308143,compact
7,0.046415888336127774,1.467799267622069,0.5977816110856276,0.593850530827553,2.45820364939832,0.0060866897630577135,compact
7,0.046415888336127774,2.154434690031882,0.7068798480259889,0.6810479046437159,3.128447024178807,0.009245356884267197,compact
7,0.046415888336127774,3.1622776601683795,0.7829739575338415,0.7405884127312782,3.844452411897632,0.012411127286093658,compact
7,0.046415888336127774,4.6415888336127775,0.8332992662778405,0.7800149485637955,4.5314717032029925,0.015178385035595028,compact
7,0.046415888336127774,6.812920690579608,0.8657267852616342,0.8058846716879458,5.133631797248626,0.017386192341587822,compact
7,0.046415888336127774,10.0,0.8864854089197354,0.8228918271724655,5.625185563213424,0.019048702313115864,compact
7,0.046415888336127774,14.67799267622069,0.8998433876228871,0.8341417167315307,6.005651301100369,0.020256306517580334,compact
7,0.046415888336127774,21.54434690031882,0.9085269029829269,0.8416341944434753,6.288989040300925,0.021113934440769054,compact
7,0.046415888336127774,31.622776601683793,0.914233111584836,0.8466541375005664,6.494293231540754,0.02171437606373276,compact
7,0.046415888336127774,46.41588833612777,0.9180184637076214,0.8500334293428267,6.640228687642404,0.022130910880072824,compact
7,0.046415888336127774,68.12920690579608,0.9205484749760577,0.8523163399108726,6.742591577093889,0.02241813902420157,compact
7,0.046415888336127774,100.0,0.922249002226468,0.8538625339299646,6.813735221523994,0.02261541895049442,compact
7,0.06812920690579612,0.01,4.870722786029202e-44,6.389443968186834e-44,1.0,0.0,compact
7,0.06812920690579612,0.014677992676220698,3.379893277835657e-30,4.433764692814278e-30,1.0,0.0,compact
7,0.06812920690579612,0.021544346900318832,9.096564976156616e-21,1.1932929622855166e-20,1.0,0.0,compact
7,0.06812920690579612,0.03162277660168379,2.417932776681587e-14,3.1718590184936326e-14,1.0000000000000315,1.573385332405725e-15,compact
7,0.06812920690579612,0.046415888336127774,5.760373290509177e-10,7.556492943266137e-10,1.0000000007533298,4.6736817290722135e-12,compact
7,0.06812920690579612,0.06812920690579612,5.526757106138364e-07,7.250031100313369e-07,1.000000722778536,4.485375380401919e-09,compact
7,0.06812920690579612,0.1,5.944246128382294e-05,7.797385558933074e-05,1.0000777405974648,4.824550537225611e-07,compact
7,0.06812920690579612,0.1467799267622069,0.0014395525070505517,0.0018865812583067764,1.0018843394706205,1.170384389870339e-05,compact
7,0.06812920690579612,0.21544346900318834,0.01262430272491787,0.016421311202279944,1.0166437113909292,0.0001040749623405493,compact
7,0.06812920690579612,0.31622776601683794,0.0553782666433955,0.0700770814667366,1.075116009539252,0.00048208001100503057,compact
7,0.06812920690579612,0.46415888336127775,0.15094677357609015,0.18059042426680683,1.2196227941760505,0.001496008451672747,compact
7,0.06812920690579612,0.6812920690579611,0.2948763522894174,0.328242101944601,1.4866780651051332,0.0036389941488802822,compact
7,0.06812920690579612,1.0,0.455167734961103,0.4744569084017527,1.8984781445681058,0.007457768437679455,compact
7,0.06812920690579612,1.467799267622069,0.5977816110856276,0.5940594433656423,2.4549613944133664,0.013105478577997959,compact
7,0.06812920690579612,2.154434690031882,0.7068798480259889,0.6812043474416258,3.1221833455424535,0.01990881998456433,compact
7,0.06812920690579612,3.1622776601683795,0.7829739575338415,0.7406964223742215,3.8341242039362653,0.026731906643774173,compact
7,0.06812920690579612,4.6415888336127775,0.8332992662778405,0.7800867468922034,4.516588045275825,0.03270041515920305,compact
7,0.06812920690579612,6.812920690579608,0.8657267852616342,0.8059317560183177,5.114321680143996,0.0374654256378801,compact
7,0.06812920690579612,10.0,0.8864854089197354,0.8229226124544664,5.602006329002951,0.04105547004725753,compact
7,0.06812920690579612,14.67799267622069,0.8998433876228871,0.834161833517079,5.979337828723486,0.04366424894319632,compact
7,0.06812920690579612,21.54434690031882,0.9085269029829269,0.8416473033927694,6.260269217979873,0.04551752858088904,compact
7,0.06812920690579612,31.622776601683793,0.914233111584836,0.8466626108040102,6.463793675335184,0.04681532046627631,compact
7,0.06812920690579612,46.41588833612777,0.9180184637076214,0.8500388142488698,6.608446423952797,0.04771575116188717,compact
7,0.06812920690579612,68.12920690579608,0.9205484749760577,0.8523196547948105,6.709901122760891,0.04833672162437843,compact
7,0.06812920690579612,100.0,0.922249002226468,0.8538644548559035,6.780409539620968,0.04876325978107554,compact
7,0.1,0.01,4.870722786029202e-44,6.402915613311108e-44,1.0,0.0,incoherent_mixer
7,0.1,0.014677992676220698,3.379893277835657e-30,4.443112940455782e-30,1.0,0.0,incoherent_mixer
7,0.1,0.021544346900318832,9.096564976156616e-21,1.1958089275866046e-20,1.0,0.0,incoherent_mixer
7,0.1,0.03162277660168379,2.417932776681587e-14,3.178546636272915e-14,1.0000000000000315,1.5844267684467887e-15,incoherent_mixer
7,0.1,0.046415888336127774,5.760373290509177e-10,7.572425220276777e-10,1.0000000007523153,1.0067088351453584e-11,incoherent_mixer
7,0.1,0.06812920690579612,5.526757106138364e-07,7.265317216221001e-07,1.0000007218047071,9.659843260426971e-09,incoherent_mixer
7,0.1,0.1,5.944246128382294e-05,7.81382456182243e-05,1.000077635842684,1.0390299618384172e-06,incoherent_mixer
7,0.1,0.1467799267622069,0.0014395525070505517,0.0018905520725841704,1.0018817936560527,2.5205708023525473e-05,incoherent_mixer
7,0.1,0.21544346900318834,0.01262430272491787,0.016455410238427587,1.0166207406733694,0.00022413507835063846,incoherent_mixer
7,0.1,0.31622776601683794,0.0553782666433955,0.07021517692356076,1.0750035106723943,0.0010381383570568876,mixed
7,0.1,0.46415888336127775,0.15094677357609015,0.1809052578950066,1.2192269636306714,0.003221071806983958,mixed
7,0.1,0.6812920690579611,0.2948763522894174,0.32870641359939895,1.485505565522678,0.00783292632364425,mixed
7,0.1,1.0,0.455167734961103,0.4749555260267836,1.8954141244631835,0.01604788261175952,mixed
7,0.1,1.467799267622069,0.5977816110856276,0.5944879815411133,2.4480097997432524,0.028198225886428313,mixed
7,0.1,2.154434690031882,0.7068798480259889,0.6815229301365247,3.1087709626896016,0.04284708608378593,mixed
7,0.1,3.1622776601683795,0.7829739575338415,0.7409145478068665,3.812030373963691,0.05755907689575888,mixed
7,0.1,4.6415888336127775,0.8332992662778405,0.780230318522834,4.484771878528408,0.0704485735868136,mixed
7,0.1,6.812920690579608,0.8657267852616342,0.806024731582654,5.073063531568423,0.08075372890263667,mixed
7,0.1,10.0,0.8864854089197354,0.8229823617559742,5.552498034879272,0.0885268636640013,mixed
7,0.1,14.67799267622069,0.8998433876228871,0.8341999034374464,5.923148004947857,0.09418038439151805,mixed
7,0.1,21.54434690031882,0.9085269029829269,0.8416711655189956,6.198950411719612,0.09819926047267893,mixed
7,0.1,31.622776601683793,0.914233111584836,0.8466770900428424,6.398681901495237,0.10101485357063868,mixed
7,0.1,46.41588833612777,0.9180184637076214,0.8500470496246513,6.540601151247473,0.10296899690285054,mixed
7,0.1,68.12920690579608,0.9205484749760577,0.8523237085815316,6.640120560157358,0.10431695155795423,mixed
7,0.1,100.0,0.922249002226468,0.8538656943416102,6.709275399241491,0.10524299220625187,mixed
7,0.1467799267622069,0.01,4.870722786029202e-44,6.429800759932172e-44,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.014677992676220698,3.379893277835657e-30,4.461769088697025e-30,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.021544346900318832,9.096564976156616e-21,1.2008299992812099e-20,1.0,0.0,incoherent_mixer
7,0.1467799267622069,0.03162277660168379,2.417932776681587e-14,3.1918930080696054e-14,1.0000000000000315,1.3910809857588956e-15,incoherent_mixer
7,0.1467799267622069,0.046415888336127774,5.760373290509177e-10,7.604221010581463e-10,1.0000000007501306,2.1672329371830263e-11,incoherent_mixer
7,0.1467799267622069,0.06812920690579612,5.526757106138364e-07,7.295823472615445e-07,1.0000007197088814,2.0794773582762707e-08,incoherent_mixer
7,0.1467799267622069,0.1,5.944246128382294e-05,7.846631554800728e-05,1.0000774103947314,2.2367224619868728e-06,incoherent_mixer
7,0.1467799267622069,0.1467799267622069,0.0014395525070505517,0.0018984761997188446,1.001876314743631,5.426016910271656e-05,incoherent_mixer
7,0.1467799267622069,0.21544346900318834,0.01262430272491787,0.016523433539750873,1.0165713093451174,0.0004824778925655717,incoherent_mixer
7,0.1467799267622069,0.31622776601683794,0.0553782666433955,0.07049026469947899,1.0747615114698132,0.002234414635131318,mixed
7,0.1467799267622069,0.46415888336127775,0.15094677357609015,0.1815301438154466,1.2183763112809751,0.006930410339430459,mixed
7,0.1467799267622069,0.6812920690579611,0.2948763522894174,0.3296216331071416,1.4829906130632344,0.016842889378037525,mixed
7,0.1467799267622069,1.0,0.455167734961103,0.475927606087344,1.8888604763664885,0.034484284537769215,mixed
7,0.1467799267622069,1.467799267622069,0.5977816110856276,0.5953109040815685,2.4331877027522384,0.06058085500121068,mixed
7,0.1467799267622069,2.154434690031882,0.7068798480259889,0.682123420516444,3.0802527989517756,0.09210007074746003,mixed
7,0.1467799267622069,3.1622776601683795,0.7829739575338415,0.7413167283006362,3.765153758644933,0.12385058892259633,mixed
7,0.1467799267622069,4.6415888336127775,0.8332992662778405,0.7804879937453256,4.41737084512781,0.15176228882379375,mixed
7,0.1467799267622069,6.812920690579608,0.8657267852616342,0.8061857445498528,4.985753133955268,0.17414729409257815,mixed
7,0.1467799267622069,10.0,0.8864854089197354,0.8230806055660084,5.447805057680678,0.1910753504245054,mixed
7,0.1467799267622069,14.67799267622069,0.8998433876228871,0.8342575384764015,5.804384899926269,0.20341145511831937,mixed
7,0.1467799267622069,21.54434690031882,0.9085269029829269,0.8417023538314409,6.069390442452333,0.21219331009938658,mixed
7,0.1467799267622069,31.622776601683793,0.914233111584836,0.8466908920313527,6.261139409830972,0.21835212016508385,mixed
7,0.1467799267622069,46.41588833612777,0.9180184637076214,0.8500493192211169,6.397306797860847,0.22262968465275906,mixed
7,0.1467799267622069,68.12920690579608,0.9205484749760577,0.8523182723464336,6.492754401158699,0.22558180074171758,mixed
7,0.1467799267622069,100.0,0.922249002226468,0.8538550801231607,6.559061559908493,0.22761059896472413,mixed
7,0.21544346900318834,0.01,4.870722786029202e-44,6.477619651633065e-44,1.0,0.0,incoherent_mixer
7,0.21544346900318834,0.014677992676220698,3.379893277835657e-30,4.494951587006514e-30,1.0,0.0,incoherent_mixer
7,0.21544346900318834,0.021544346900318832,9.096564976156616e-21,1.2097606585396812e-20,1.0,0.0,incoherent_mixer
7,0.21544346900318834,0.03162277660168379,2.417932776681587e-14,3.2156313464369245e-14,1.0000000000000313,1.1434615265925029e-15,incoherent_mixer
7,0.21544346900318834,0.046415888336127774,5.760373290509177e-10,7.660774150293904e-10,1.0000000007454353,4.6612650336184767e-11,incoherent_mixer
7,0.21544346900318834,0.06812920690579612,5.526757106138364e-07,7.350082998273409e-07,1.0000007152038746,4.4723423256853466e-08,incoherent_mixer
7,0.21544346900318834,0.1,5.944246128382294e-05,7.90498296427342e-05,1.0000769257916566,4.810528267858485e-06,incoherent_mixer
7,0.21544346900318834,0.1467799267622069,0.0014395525070505517,0.001912568629221024,1.001864538038468,0.0001166965396625198,incoherent_mixer
7,0.21544346900318834,0.21544346900318834,0.01262430272491787,0.016644292335477862,1.0164650796233805,0.0010375828314443992,incoherent_mixer
7,0.21544346900318834,0.31622776601683794,0.0553782666433955,0.07097715153612524,1.0742418627091976,0.00480377130163019,mixed
7,0.21544346900318834,0.46415888336127775,0.15094677357609015,0.18262532845924845,1.2165535045098377,0.014888663866591014,mixed
7,0.21544346900318834,0.6812920690579611,0.2948763522894174,0.33119486140741056,1.4776233923408724,0.036136199634219,mixed
7,0.21544346900318834,1.0,0.455167734961103,0.4775454038899506,1.8749584951332643,0.07387901347244458,mixed
